"","CNTRYID","CNTSCHID","age","sex","ESCS","SES","MATH","growth"
"252",360,36000065,4,0,-1.4055,0.0418149859042871,413.7663,"0"
"253",360,36000103,16,1,-0.3156,1.088241878227,333.2959,"0"
"254",360,36000302,16,0,-1.8149,-0.351255176236201,384.9617,"1"
"255",360,36000042,16,0,-3.374,-1.84816697348396,409.9104,"0"
"256",360,36000198,16,1,-0.4061,1.00135167384567,340.0476,"0"
"257",360,36000295,16,1,1.0672,2.41588579666341,489.6453,"1"
"258",360,36000132,16,0,0.3421,1.71970803758166,381.3339,"0"
"259",360,36000390,16,1,-1.2846,0.157892618055691,375.4914,"0"
"260",360,36000167,16,1,0.1247,1.51097952451536,399.5858,"1"
"261",360,36000135,16,0,-1.6171,-0.161344873179561,472.7798,"0"
"262",360,36000113,16,1,-1.6267,-0.17056195563327,323.9307,"0"
"263",360,36000048,16,1,-1.9359,-0.467428819663165,389.6327,"1"
"264",360,36000161,16,1,-1.2986,0.144451039477365,342.7947,"0"
"265",360,36000059,16,1,-2.8157,-1.31213602203542,369.54,"0"
"266",360,36000180,16,0,-2.4909,-1.00029139901825,428.093,"0"
"267",360,36000217,16,1,-0.7662,0.655615070556006,301.6534,"0"
"268",360,36000197,16,1,-3.428,-1.90001306228608,325.8316,"1"
"269",360,36000199,16,1,-1.192,0.246799059223765,347.8623,"0"
"270",360,36000353,16,0,-1.5897,-0.135037783676264,370.0225,"0"
"271",360,36000315,16,0,-0.9408,0.487979383429164,454.3561,"1"
"272",360,36000019,16,0,-1.3296,0.114687544053928,377.0223,"0"
"273",360,36000369,16,1,-2.177,-0.698912005037057,474.4532,"0"
"274",360,36000056,16,0,-0.4207,0.98733402761399,408.9886,"0"
"275",360,36000294,16,0,-2.9906,-1.48005974298894,362.1515,"0"
"276",360,36000369,16,1,-1.487,-0.0364342036766846,441.0403,"0"
"277",360,36000142,16,0,-1.8692,-0.403389298864995,385.5366,"0"
"278",360,36000359,16,0,-0.4084,0.999143414507805,495.6811,"0"
"279",360,36000353,16,0,-1.3382,0.106430574355813,324.4325,"1"
"280",360,36000210,16,1,-2.3648,-0.87922118053775,303.1026,"0"
"281",360,36000214,16,1,-1.6728,-0.214823153666188,319.8193,"1"
"282",360,36000283,16,0,-2.4042,-0.917049623108183,356.7912,"0"
"283",360,36000221,16,0,-1.2145,0.225196522222883,396.1733,"1"
"284",360,36000206,16,1,-1.9497,-0.480678375690372,328.0076,"0"
"285",360,36000093,16,1,-2.8547,-1.34958041950361,312.531,"0"
"286",360,36000336,16,1,-0.9268,0.501420962007491,352.6674,"0"
"287",360,36000072,16,1,0.4549,1.82800875641275,462.4565,"1"
"288",360,36000037,16,0,-2.4406,-0.951997727411831,340.6396,"0"
"289",360,36000055,16,1,-3.0361,-1.5237448733685,347.7075,"0"
"290",360,36000338,16,0,-1.097,0.338009771005265,409.746,"1"
"291",360,36000169,16,0,-2.0761,-0.602036627997547,350.366,"1"
"292",360,36000243,16,1,-0.8255,0.598680384149238,320.8347,"1"
"293",360,36000035,16,1,-0.3312,1.07326411923972,373.8336,"0"
"294",360,36000331,16,0,-2.4471,-0.958238460323197,355.706,"0"
"295",360,36000300,16,1,-0.5544,0.858966952190973,408.5395,"1"
"296",360,36000295,16,0,-1.4888,-0.038162406636755,475.7754,"1"
"297",360,36000392,16,1,-2.3791,-0.892950792942755,293.5433,"0"
"298",360,36000399,16,1,-1.5893,-0.134653738574027,306.8424,"1"
"299",360,36000128,16,1,0.1995,1.58279595863385,404.2192,"0"
"300",360,36000103,16,1,-1.2152,0.224524443293967,413.0914,"1"
"301",360,36000098,16,0,-3.0759,-1.56195736104117,307.2874,"0"
"302",360,36000327,16,1,-1.1303,0.30603801624396,323.9731,"0"
"303",360,36000124,16,0,-1.9624,-0.492871807686425,384.3466,"0"
"304",360,36000163,16,0,0.0854,1.47324709322049,411.7099,"1"
"305",360,36000314,16,0,-1.6765,-0.218375570861888,404.151,"0"
"306",360,36000220,16,1,-1.5919,-0.137150031738573,380.5643,"0"
"307",360,36000211,16,1,-0.3976,1.00951263226823,326.1143,"1"
"308",360,36000144,16,0,-1.8698,-0.403965366518352,465.3221,"1"
"309",360,36000403,16,0,-0.9812,0.449190828103136,379.9208,"1"
"310",360,36000357,16,1,-2.0503,-0.577265718903203,311.8704,"0"
"311",360,36000335,16,1,-1.7746,-0.312562632185732,412.7075,"0"
"312",360,36000043,16,1,-1.9832,-0.512842153002796,301.3704,"0"
"313",360,36000135,16,1,-2.3476,-0.86270724114152,382.5805,"0"
"314",360,36000097,16,1,-0.2249,1.17532410515944,309.9475,"1"
"315",360,36000065,16,0,-0.659,0.758539157955763,313.1915,"1"
"316",360,36000076,16,0,-1.8207,-0.35682383021865,307.8237,"0"
"317",360,36000056,16,0,-1.5982,-0.14319874209882,385.7623,"0"
"318",360,36000315,16,0,-1.3594,0.0860761839372047,434.4248,"0"
"319",360,36000164,16,1,-1.4374,0.0111873890008147,361.7347,"0"
"320",360,36000226,16,1,0.0541,1.44319556397037,415.1292,"0"
"321",360,36000058,16,0,-1.8977,-0.430752512399445,386.2602,"1"
"322",360,36000179,16,0,-2.379,-0.892854781667195,365.1752,"0"
"323",360,36000348,16,1,-1.3923,0.0544884742781376,291.6163,"0"
"324",360,36000396,16,1,-1.57,-0.116123562391048,388.5408,"0"
"325",360,36000029,16,0,0.0186,1.40911156114676,462.9437,"1"
"326",360,36000353,16,0,-2.488,-0.997507072027022,365.3533,"0"
"327",360,36000176,16,0,-1.0705,0.363452759028526,365.9119,"1"
"328",360,36000147,16,0,-0.3603,1.04532483805191,394.7005,"1"
"329",360,36000104,16,1,-1.3241,0.119968164209699,350.885,"0"
"330",360,36000023,16,0,-2.7194,-1.21967716367165,411.5095,"0"
"331",360,36000049,16,0,-1.8158,-0.352119277716236,434.1433,"0"
"332",360,36000288,16,0,-2.467,-0.977344704159533,470.1558,"1"
"333",360,36000403,16,0,-0.3513,1.05396585285227,343.0512,"1"
"334",360,36000246,16,0,-1.7614,-0.299889143811882,337.8955,"0"
"335",360,36000113,16,1,-1.5339,-0.081463491914078,356.2791,"0"
"336",360,36000265,16,0,-1.5367,-0.0841518076297432,325.8152,"0"
"337",360,36000145,16,0,0.4523,1.8255124632482,383.815,"0"
"338",360,36000269,16,1,-2.015,-0.543373738630709,462.5585,"1"
"339",360,36000354,16,0,-1.3952,0.0517041472869129,492.4762,"1"
"340",360,36000056,16,1,-1.7827,-0.32033954550605,495.7527,"1"
"341",360,36000242,16,0,-1.8023,-0.339157755515707,401.262,"0"
"342",360,36000272,16,0,-0.6971,0.721958861967603,462.9509,"1"
"343",360,36000285,16,1,-0.0274,1.3649463743894,403.0869,"0"
"344",360,36000067,16,0,-0.1758,1.22246564145914,335.4218,"1"
"345",360,36000297,16,1,-3.3438,-1.819171568265,277.3914,"1"
"346",360,36000039,16,0,-1.9455,-0.476645902116874,324.4424,"0"
"347",360,36000100,16,0,-1.9002,-0.433152794288432,365.3563,"1"
"348",360,36000344,16,1,-2.0787,-0.604532921162094,349.8234,"0"
"349",360,36000001,16,0,-0.4245,0.98368559914273,391.1896,"0"
"350",360,36000382,16,1,-1.4619,-0.0123353735112564,364.0114,"1"
"351",360,36000237,16,0,-2.9237,-1.41582819963965,372.7014,"0"
"352",360,36000264,16,0,-2.019,-0.547214189653088,327.6889,"0"
"353",360,36000091,16,0,-2.0721,-0.598196176975168,405.3269,"1"
"354",360,36000014,16,1,-3.1911,-1.67256235048569,372.1308,"1"
"355",360,36000205,16,0,0.208,1.5909569170564,459.0215,"1"
"356",360,36000196,16,0,-0.313,1.09073817139154,393.8515,"0"
"357",360,36000032,16,1,-0.2746,1.12760650120638,367.9131,"0"
"358",360,36000285,16,0,-2.3165,-0.832847734442524,389.4349,"0"
"359",360,36000190,16,1,1.2399,2.58169726955462,399.1497,"1"
"360",360,36000313,16,0,-2.1946,-0.715809989535524,473.396,"1"
"361",360,36000044,16,0,-0.8159,0.607897466602948,534.1495,"0"
"362",360,36000051,16,1,-0.5816,0.832851885238796,287.5405,"0"
"363",360,36000364,16,0,-2.4685,-0.978784873292925,362.3134,"0"
"364",360,36000137,16,0,-2.1041,-0.6289197851542,331.0411,"0"
"365",360,36000142,16,0,-1.9468,-0.477894048699147,382.698,"0"
"366",360,36000150,16,1,-4.6315,-3.05550876364435,367.1026,"1"
"367",360,36000019,16,1,-1.6753,-0.217223435555175,370.0732,"0"
"368",360,36000296,16,1,-0.884,0.542513787946945,309.7683,"0"
"369",360,36000004,16,0,-0.1503,1.24694851672681,322.2533,"0"
"370",360,36000066,16,1,-1.6634,-0.205798093763597,405.718,"0"
"371",360,36000008,16,0,0.8274,2.18565075787179,496.185,"1"
"372",360,36000150,16,1,-1.6078,-0.152415824552529,389.0689,"1"
"373",360,36000003,16,0,-1.0477,0.385343329856086,378.5442,"0"
"374",360,36000189,16,1,-1.7634,-0.301809369323072,355.6898,"0"
"375",360,36000035,16,1,-1.38,0.0662978611719531,446.4636,"0"
"376",360,36000314,16,0,-2.1593,-0.68191800926303,391.2999,"0"
"377",360,36000291,16,0,-1.8838,-0.417406945096678,278.6249,"0"
"378",360,36000194,16,0,-1.9703,-0.500456698455624,365.575,"0"
"379",360,36000391,16,1,-1.1229,0.313142850635361,399.8025,"1"
"380",360,36000021,16,0,-1.929,-0.460804041649561,430.2617,"1"
"381",360,36000011,16,1,-1.2842,0.158276663157929,377.912,"0"
"382",360,36000004,16,0,-1.4578,-0.008398911213318,412.4845,"1"
